Drug,Slang
Heroin,H-Caps
Heroin,Hairy
Heroin,Hard Candy
Heroin,Harry
Heroin,Hats
Heroin,Hazel
Heroin,Heaven Dust
Heroin,Heavy
Heroin,Helen
Heroin,Helicopter
Heroin,Hell Dust
Heroin,Henry
Heroin,Hercules
Heroin,Hero
Heroin,Him
Heroin,Hombre
Heroin,Horse
Heroin,Hot Dope
Heroin,Hummers
Heroin,Jojee
Heroin,Joy Flakes
Heroin,Joy Powder
Heroin,Junk
Heroin,Kabayo
Heroin,Karachi
Heroin,Karate
Heroin,King’s Tickets
Heroin,Lemonade
Heroin,Lenta
Heroin,Lifesaver
Heroin,Manteca
Heroin,Marias
Heroin,Mayo
Heroin,Mazpan
Heroin,Meal
Heroin,Menthol
Heroin,Mexican Brown
Heroin,Mexican Horse
Heroin,Mexican Mud
Heroin,Mexican Treat
Heroin,Modelo Negra
Heroin,Mojo
Heroin,Mole
Heroin,Mongega
Heroin,Morena
Heroin,Morenita
Heroin,Mortal
Heroin,Combat
Heroin,Motors
Heroin,Mud
Heroin,Mujer
Heroin,Muzzle
Heroin,Nanoo
Heroin,Negra
Heroin,Negra Tomasa
Heroin,Negrita
Heroin,Nice and Easy
Heroin,Night
Heroin,Noise
Heroin,Obama
Heroin,Old Steve
Heroin,Pants
Heroin,Patty
Heroin,Peg
Heroin,P-Funk
Heroin,Piezas
Heroin,Plata
Heroin,Poison
Heroin,Polvo
Heroin,Poppy
Heroin,Powder
Heroin,Prostituta Negra
Heroin,Puppy
Heroin,Pure
Heroin,Rambo
Heroin,Red Chicken
Heroin,Red Eagle
Heroin,Reindeer Dust
Heroin,Roofing Tar
Heroin,Sack
Heroin,Salt
Heroin,Sand
Heroin,Scag
Heroin,Scat
Heroin,Schmeck
Heroin,Sheep
Heroin,Shirts
Heroin,Shoes
Heroin,Skag
Heroin,Slime
Heroin,Smack
Heroin,Smeck
Heroin,Snickers
Heroin,Speedball (mixed with cocaine)
Heroin,Spider Blue
Heroin,Sticky Kind
Heroin,Stufa
Heroin,Sugar
Heroin,Sweet Jesus
Heroin,Tan
Heroin,Tar
Heroin,Tecata
Heroin,Tires
Heroin,Tootsie Roll
Heroin,Tragic Magic
Heroin,Trees
Heroin,Turtle
Heroin,Vidrio
Heroin,Whiskey
Heroin,White
Heroin,White Boy
Heroin,White Girl
Heroin,White Junk
Heroin,White Lady
Heroin,White Nurse
Heroin,White Shirt
Heroin,White
Heroin,Stuff
Heroin,Wings
Heroin,Witch
Heroin,Witch Hazel
Heroin,Zapapote
Hydrocodone,357s
Hydrocodone,Bananas
Hydrocodone,Dro
Hydrocodone,Fluff
Hydrocodone,Hydro
Hydrocodone,Tabs
Hydrocodone,Norco
Hydrocodone,Vics
Hydrocodone,Vikes
Hydrocodone,Watsons
Ketamine,Blind Squid
Ketamine,Cat Valium
Ketamine,Green
Ketamine,Honey Oil
Ketamine,Jet
Ketamine,K
Ketamine,Keller
Ketamine,Kelly’s Day
Ketamine,K-Hold
Ketamine,K-Ways
Ketamine,Special K
Ketamine,Super Acid
Ketamine,Vitamin K
Ketamine,Klonopin® (Clonazepam)
Ketamine,K
Ketamine,K-Pin
Ketamine,Pin
Ketamine,Super Valium
LSD,Aceite
LSD,Acid
LSD,Acido
LSD,Alice
LSD,Angels in a Sky
LSD,Animal
LSD,Backbreaker (mixed with strychnine)
LSD,Barrel
LSD,Bart Simpson
LSD,Battery Acid
LSD,Beast
LSD,Big D
LSD,Black Acid (mixed with PCP)
LSD,Black Star
LSD,Black Sunshine
LSD,Black Tabs
LSD,Blotter
LSD,Acid
LSD,Blotter Cube
LSD,Blue Acid
LSD,Blue Barrel
LSD,Blue Chair
LSD,Blue Cheer
LSD,Blue Heaven
LSD,Blue Microdots
LSD,Blue Mist
LSD,Blue Moon
LSD,Blue Sky
LSD,Blue Star
LSD,Blue Tabs
LSD,Brown Bomber
LSD,Brown Dots
LSD,California Sunshine
LSD,Cherry Dome
LSD,Chief
LSD,Chinese Dragons
LSD,Coffee
LSD,Conductor
LSD,Contact Lens
LSD,Crackers
LSD,Crystal Tea
LSD,Cupcakes
LSD,Dental Floss
LSD,Dinosaurs
LSD,Domes
LSD,Dots
LSD,Double Dome
LSD,El Cid
LSD,Electric Kool Aid
LSD,Ellis Day
LSD,Fields
LSD,Flash
LSD,Flat Blues
LSD,Ghost
LSD,Golden Dragon
LSD,Golf Balls
LSD,Goofy
LSD,Gota
LSD,Grape Parfait
LSD,Green Wedge
LSD,Grey Shields
LSD,Hats
LSD,Hawaiian Sunshine
LSD,Hawk
LSD,Haze
LSD,Headlights
LSD,Heavenly Blue
LSD,Hits
LSD,Instant Zen
LSD,Jesus Christ Acid
LSD,Kaleidoscope
LSD,Leary
LSD,Lens
LSD,Lime Acid
LSD,"Live, Spit & Die"
LSD,Lucy in the Sky with Diamonds
LSD,Mellow Yellow
LSD,Mica
LSD,Microdot
LSD,Mighty Quinn
LSD,Mind Detergent
LSD,Mother of God
LSD,Newspapers
LSD,Orange Barrels
LSD,Orange Cubes
LSD,Orange Haze
LSD,Orange Micros
LSD,Orange Wedges
LSD,Owsley
LSD,Paper Acid
LSD,Pearly Gates
LSD,Pellets
LSD,Phoenix
LSD,Pink Blotters
LSD,Pink Panthers
LSD,Pink
LSD,Robots
LSD,Pink Wedges
LSD,Pink Witches
LSD,Pizza
LSD,Potato
LSD,Pure Love
LSD,Purple Barrels
LSD,Purple Haze
LSD,Purple Hearts
LSD,Purple Flats
LSD,Recycle
LSD,Royal Blues
LSD,Russian Sickles
LSD,Sacrament
LSD,Sandoz
LSD,Smears
LSD,Square Dancing Tickets
LSD,Strawberry Fields
LSD,Sugar Cubes
LSD,Sugar Lumps
LSD,Sunshine
LSD,Tabs
LSD,Tacatosa
LSD,Tail Lights
LSD,Teddy Bears
LSD,Ticket
LSD,Uncle Sid
LSD,Valley Dolls
LSD,Vodka Acid
LSD,Wedding Bells
LSD,Wedge
LSD,White Dust
LSD,White Fluff
LSD,White Lightening
LSD,White
LSD,Owsley
LSD,Window Glass
LSD,Window Pane
LSD,Yellow Dimples
LSD,Yellow Sunshine
LSD,Zen
LSD,5
LSD,DEA Intelligence Report
Marijuana,420
Marijuana,Acapulco Gold
Marijuana,Acapulco Red
Marijuana,Ace
Marijuana,African Black
Marijuana,African Bush
Marijuana,Airplane
Marijuana,Alfombra
Marijuana,Alice B Toklas
Marijuana,All-
Marijuana,Star
Marijuana,Angola
Marijuana,Animal Cookies (hydroponic)
Marijuana,Arizona
Marijuana,Ashes
Marijuana,Aunt Mary
Marijuana,Baby
Marijuana,Bale
Marijuana,Bambalachacha
Marijuana,Barbara
Marijuana,Jean
Marijuana,Bareta
Marijuana,Bash
Marijuana,BC Budd
Marijuana,Bernie
Marijuana,Bhang
Marijuana,Big Pillows
Marijuana,Biggy
Marijuana,Black Bart
Marijuana,Black Gold
Marijuana,Black Maria
Marijuana,Blondie
Marijuana,Blue Cheese
Marijuana,Blue Crush
Marijuana,Blue Jeans
Marijuana,Blue Sage
Marijuana,Blueberry
Marijuana,Bobo Bush
Marijuana,Boo
Marijuana,Boom
Marijuana,Broccoli
Marijuana,Bud
Marijuana,Budda
Marijuana,Burritos Verdes
Marijuana,Bush
Marijuana,Cabbage
Marijuana,Cali
Marijuana,Canadian Black
Marijuana,Catnip
Marijuana,Cheeba
Marijuana,Chernobyl
Marijuana,Cheese
Marijuana,Chicago Black
Marijuana,Chicago Green
Marijuana,Chippie
Marijuana,Chistosa
Marijuana,Christmas Tree
Marijuana,Chronic
Marijuana,Churo
Marijuana,Cigars
Marijuana,Citrol
Marijuana,Cola
Marijuana,Colorado Cocktail
Marijuana,Cookie (hydroponic)
Marijuana,Cotorritos
Marijuana,Crazy Weed
Marijuana,Creeper Bud
Marijuana,Crippy
Marijuana,Crying Weed
Marijuana,Culican
Marijuana,Dank
Marijuana,Dew
Marijuana,Diesel
Marijuana,Dimba
Marijuana,Dinkie Dow
Marijuana,Dirt Grass
Marijuana,Ditch Weed
Marijuana,Dizz
Marijuana,Djamba
Marijuana,Dody
Marijuana,Dojo
Marijuana,Domestic
Marijuana,Donna Juana
Marijuana,Doobie
Marijuana,Downtown Brown
Marijuana,Drag Weed
Marijuana,Dro (hydroponic)
Marijuana,Droski (hydroponic)
Marijuana,Dry High
Marijuana,Endo
Marijuana,Fine Stuff
Marijuana,Fire
Marijuana,Flower
Marijuana,Flower Tops
Marijuana,Fluffy
Marijuana,Fuzzy Lady
Marijuana,Gallito
Marijuana,Garden
Marijuana,Gauge
Marijuana,Gangster
Marijuana,Ganja
Marijuana,Gash
Marijuana,Gato
Marijuana,Ghana
Marijuana,Gigi
Marijuana,(hydroponic) Giggle Smoke
Marijuana,Giggle Weed
